Availability 30;Availability 60;Availability 90;Availability 365;Accommodates;Bathrooms;Bedrooms;Beds;Price;Cleaning Fee;Guests Included;Neighbourhood Cleansed_mean_encoded;Neighbourhood Group Cleansed_mean_encoded;Room Type_mean_encoded
30;60;90;365;4;1.0;1.0;3.0;40.0;0.0;2;43.833333333333336;46.363751584283904;34.25513598121698
15;44;74;349;2;1.0;0.0;1.0;89.0;0.0;1;82.51466666666667;72.77179221548025;87.29660587639312
29;59;89;89;2;2.0;1.0;1.0;500.0;0.0;1;58.56521739130435;70.86238532110092;34.25513598121698
23;50;80;355;4;2.0;2.0;3.0;240.0;80.0;1;78.0656192236599;72.77179221548025;87.29660587639312
0;0;1;16;2;1.0;1.0;1.0;20.0;0.0;1;78.90445859872611;72.77179221548025;34.25513598121698
13;43;73;104;5;2.0;2.0;4.0;189.0;0.0;1;44.111111111111114;44.23841059602649;87.29660587639312
30;60;90;181;2;0.5;1.0;1.0;29.0;0.0;1;78.90445859872611;72.77179221548025;34.25513598121698
29;59;89;90;2;1.0;1.0;2.0;40.0;6.0;1;37.5625;51.07333333333333;29.853403141361255
16;24;48;49;4;1.0;1.0;1.0;56.0;25.0;1;60.342919153553986;72.77179221548025;87.29660587639312
0;0;3;267;5;1.0;2.0;3.0;61.0;33.0;2;52.86641221374046;46.363751584283904;87.29660587639312
7;15;40;282;2;1.0;1.0;2.0;21.0;10.0;1;60.342919153553986;72.77179221548025;34.25513598121698
3;18;37;300;3;1.0;1.0;2.0;38.0;10.0;1;78.0656192236599;72.77179221548025;34.25513598121698
0;6;36;311;1;2.0;1.0;1.0;20.0;15.0;1;78.0656192236599;72.77179221548025;34.25513598121698
9;19;28;119;3;1.0;1.0;2.0;60.0;35.0;2;60.342919153553986;72.77179221548025;87.29660587639312
0;3;14;38;2;1.0;1.0;1.0;30.0;0.0;1;75.41904761904762;70.86238532110092;34.25513598121698
7;19;49;49;4;1.0;3.0;4.0;60.0;30.0;1;50.22222222222222;44.23841059602649;87.29660587639312
0;0;0;0;2;1.0;1.0;1.0;40.0;0.0;2;49.3;39.35897435897436;34.25513598121698
